year,area,net_weight
1999,인천광역시,196828870
1999,서울특별시,873467160
1999,경기도,363692510
2000,인천광역시,469385500
2000,서울특별시,1997846950
2000,경기도,751546270
2001,인천광역시,420763140
2001,서울특별시,1873934680
2001,경기도,642423040
2002,인천광역시,328400470
2002,서울특별시,1877356180
2002,경기도,558482770
2003,인천광역시,268250090
2003,서울특별시,1739445550
2003,경기도,543268360
2004,인천광역시,228926030
2004,서울특별시,1520866320
2004,경기도,447299580
2005,인천광역시,155446970
2005,서울특별시,946968830
2005,경기도,302277260
2006,인천광역시,76000860
2006,서울특별시,935768956
2006,경기도,336192659
2007,인천광역시,53106670
2007,서울특별시,802291672
2007,경기도,355318110
2008,인천광역시,52825040
2008,서울특별시,634312248
2008,경기도,294883370
2009,인천광역시,62559922
2009,서울특별시,483165347
2009,경기도,253398740
2010,인천광역시,51295552
2010,서울특별시,400709122
2010,경기도,197106860
2011,인천광역시,54769780
2011,서울특별시,373148700
2011,경기도,238005530
2012,인천광역시,35523180
2012,서울특별시,224268625
2012,경기도,168402690
2013,인천광역시,47896040
2013,서울특별시,258891244
2013,경기도,198999185
2014,인천광역시,52944720
2014,서울특별시,315667431
2014,경기도,161034830
2015,인천광역시,57870600
2015,서울특별시,245482070
2015,경기도,182201500
2016,인천광역시,70179470
2016,서울특별시,263663750
2016,경기도,214133990
2017,인천광역시,86009070
2017,서울특별시,274781630
2017,경기도,216611490
2018,인천광역시,106888000
2018,서울특별시,306219780
2018,경기도,295598140
2019,인천광역시,126603760
2019,서울특별시,346429120
2019,경기도,315269320
